Label,Family,Metal,Etot_DFT,Eslab_DFT,Emol_DFT,Eads_DFT
pt-PPst,Plastics,pt,-1388.49754587,-1131.02244804,-256.61073717,-0.8643606600001021
ru-PE,Plastics,ru,-1899.21760009,-1692.27404568,-206.61948565,-0.3240687599999319
ru-PET,Plastics,ru,-2031.87203107,-1692.27404568,-334.81520255,-4.782782840000095
ru-PS,Plastics,ru,-1906.97640604,-1692.27404568,-211.59859686,-3.1037635000000705
pt-PE,Plastics,pt,-1338.81419737,-1131.02244804,-206.61948565,-1.1722636800001283
ru-PPst,Plastics,ru,-1948.87409339,-1692.27404568,-256.61073717,0.010689459999866813
pt-PET,Plastics,pt,-1468.69568755,-1131.02244804,-334.81520255,-2.8580369600000495
pt-PPit,Plastics,pt,-1388.20404055,-1131.02244804,-256.25239953,-0.9291929799999821
ru-PPit,Plastics,ru,-1948.72020582,-1692.27404568,-256.25239953,-0.1937606100000835
pt-PS,Plastics,pt,-1345.57274884,-1131.02244804,-211.59859686,-2.9517039400000726
au-mol41,Polyurethanes,au,-847.3721487,-603.05652872,-243.47832296,-0.8372970200000509
ag-mol18,Polyurethanes,ag,-533.91868545,-376.57000684,-156.57552837,-0.7731502399999783
ag-mol41,Polyurethanes,ag,-621.15780623,-376.57000684,-243.47832296,-1.1094764299999724
au-mol18,Polyurethanes,au,-759.99216945,-603.05652872,-156.57552837,-0.3601123600000449
au-mol17,Polyurethanes,au,-760.07426811,-603.05652872,-156.61705379,-0.400685600000088
au-mol16,Polyurethanes,au,-720.85766062,-603.05652872,-117.29813031,-0.5030015900000819
ag-mol19,Polyurethanes,ag,-573.27168956,-376.57000684,-195.85739787,-0.8442848500000082
ag-mol17,Polyurethanes,ag,-533.99336182,-376.57000684,-156.61705379,-0.8063011899999992
ag-mol16,Polyurethanes,ag,-494.62122612,-376.57000684,-117.29813031,-0.7530889699999932
au-mol19,Polyurethanes,au,-799.30033182,-603.05652872,-195.85739787,-0.3864052300000367
ru-mol3,Biomass,ru,-882.45546818,-725.4400795,-153.6018589,-3.4135297800000046
ru-mol1,Biomass,ru,-995.70888905,-725.4400795,-266.6203315,-3.6484780499999943
ni-mol3,Biomass,ni,-585.90651545,-429.51813188,-153.6018589,-2.786524670000034
ru-mol2,Biomass,ru,-995.17444968,-725.4400795,-266.58212823,-3.1522419499999046
ru-mol5,Biomass,ru,-889.63185704,-725.4400795,-162.19930716,-1.992470379999986
ni-mol4,Biomass,ni,-600.11030778,-429.51813188,-168.6743372,-1.917838699999976
ni-mol5,Biomass,ni,-593.31592192,-429.51813188,-162.19930716,-1.5984828800000628
ni-mol2,Biomass,ni,-698.48954354,-429.51813188,-266.58212823,-2.3892834299999777
ru-mol4,Biomass,ru,-896.61308428,-725.4400795,-168.6743372,-2.498667579999932
ni-mol1,Biomass,ni,-699.00318364,-429.51813188,-266.6203315,-2.864720259999956
